rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
126,frame_0315.jpg,126.0,0.455,0.6906,0.2857,0.12,8,2,False,False
127,frame_0029.jpg,11.6,0.4541,0.4224,0.1429,1.0,5,1,False,False
128,frame_0086.jpg,34.4,0.4533,0.6129,0.1429,0.52,5,1,False,False
129,frame_0118.jpg,47.2,0.4533,0.5592,0.2857,0.44,4,2,False,False
130,frame_0208.jpg,83.2,0.451,0.5123,0.1429,0.76,4,1,False,False
131,frame_0116.jpg,46.4,0.4505,0.4998,0.4286,0.36,7,3,False,False
132,frame_0292.jpg,116.8,0.4487,0.4916,0.1429,0.8,8,1,False,False
133,frame_0396.jpg,158.4,0.4478,0.6601,0.2857,0.16,8,2,False,False
134,frame_0206.jpg,82.4,0.4471,0.5044,0.1429,0.76,3,1,False,False
135,frame_0327.jpg,130.8,0.4461,0.6191,0.4286,0.04,11,3,False,False
136,frame_0081.jpg,32.4,0.445,0.4306,0.2857,0.72,6,2,False,False
137,frame_0180.jpg,72.0,0.445,0.5152,0.5714,0.08,8,4,False,False
138,frame_0309.jpg,123.6,0.4442,0.5832,0.4286,0.12,6,3,False,False
139,frame_0095.jpg,38.0,0.4435,0.5658,0.4286,0.16,6,3,False,False
140,frame_0017.jpg,6.8,0.442,0.3982,0.1429,1.0,5,1,False,False
141,frame_0100.jpg,40.0,0.4367,0.6003,0.4286,0.04,6,3,False,False
142,frame_0083.jpg,33.2,0.4348,0.5279,0.1429,0.64,4,1,False,False
143,frame_0274.jpg,109.6,0.4343,0.6332,0.2857,0.16,7,2,False,False
144,frame_0211.jpg,84.4,0.4338,0.5259,0.1429,0.64,3,1,False,False
145,frame_0204.jpg,81.6,0.4334,0.509,0.1429,0.68,3,1,False,False
146,frame_0170.jpg,68.0,0.4307,0.4979,0.2857,0.48,6,2,False,False
147,frame_0175.jpg,70.0,0.4306,0.5777,0.2857,0.28,7,2,False,False
148,frame_0094.jpg,37.6,0.43,0.6085,0.2857,0.2,6,2,False,False
149,frame_0082.jpg,32.8,0.4298,0.4162,0.2857,0.68,4,2,False,False
150,frame_0174.jpg,69.6,0.429,0.5585,0.2857,0.32,4,2,False,False
151,frame_0124.jpg,49.6,0.4288,0.4998,0.1429,0.68,6,1,False,False
152,frame_0177.jpg,70.8,0.4264,0.6871,0.1429,0.2,8,1,False,False
153,frame_0297.jpg,118.8,0.4256,0.5255,0.1429,0.6,7,1,False,False
154,frame_0314.jpg,125.6,0.4244,0.6454,0.2857,0.08,6,2,False,False
155,frame_0203.jpg,81.2,0.424,0.5063,0.1429,0.64,4,1,False,False
156,frame_0189.jpg,75.6,0.422,0.6405,0.2857,0.08,4,2,False,False
157,frame_0399.jpg,159.6,0.4218,0.5602,0.2857,0.28,8,2,False,False
158,frame_0306.jpg,122.4,0.4179,0.5684,0.2857,0.24,7,2,False,False
159,frame_0168.jpg,67.2,0.4173,0.4392,0.2857,0.56,7,2,False,False
160,frame_0288.jpg,115.2,0.4137,0.4537,0.1429,0.72,9,1,False,False
161,frame_0300.jpg,120.0,0.4102,0.3712,0.4286,0.48,6,3,False,False
162,frame_0388.jpg,155.2,0.4085,0.4958,0.4286,0.16,9,3,False,False
163,frame_0286.jpg,114.4,0.4081,0.4745,0.1429,0.64,8,1,False,False
164,frame_0219.jpg,87.6,0.4069,0.6001,0.1429,0.32,4,1,False,False
165,frame_0008.jpg,3.2,0.4042,0.3227,0.1429,1.0,3,1,False,False
166,frame_0200.jpg,80.0,0.4042,0.5146,0.1429,0.52,2,1,False,False
167,frame_0025.jpg,10.0,0.402,0.4039,0.0,1.0,2,0,False,False
168,frame_0098.jpg,39.2,0.4019,0.702,0.1429,0.04,8,1,False,False
169,frame_0389.jpg,155.6,0.4018,0.6699,0.1429,0.12,10,1,False,False
170,frame_0232.jpg,92.8,0.4004,0.5494,0.2857,0.2,6,2,False,False
171,frame_0230.jpg,92.0,0.3983,0.4915,0.4286,0.12,9,3,False,False
172,frame_0194.jpg,77.6,0.3981,0.5984,0.1429,0.28,6,1,False,False
173,frame_0209.jpg,83.6,0.3937,0.4137,0.1429,0.72,3,1,False,False
174,frame_0393.jpg,157.2,0.3923,0.5114,0.4286,0.04,5,3,False,False
175,frame_0374.jpg,149.6,0.3895,0.5276,0.2857,0.2,9,2,False,False
176,frame_0223.jpg,89.2,0.3886,0.5418,0.2857,0.16,7,2,False,False
177,frame_0092.jpg,36.8,0.3885,0.4936,0.2857,0.28,4,2,False,False
178,frame_0091.jpg,36.4,0.3826,0.4657,0.2857,0.32,4,2,False,False
179,frame_0212.jpg,84.8,0.3826,0.4394,0.1429,0.6,3,1,False,False
180,frame_0275.jpg,110.0,0.3824,0.5134,0.2857,0.2,9,2,False,False
181,frame_0027.jpg,10.8,0.382,0.2783,0.1429,1.0,3,1,False,False
182,frame_0026.jpg,10.4,0.3808,0.3615,0.0,1.0,4,0,False,False
183,frame_0010.jpg,4.0,0.3807,0.3613,0.0,1.0,3,0,False,False
184,frame_0207.jpg,82.8,0.3799,0.4398,0.0,0.8,3,0,False,False
